species,plot,leafid,wet+petiole,wet,dry+petiole,dry,percentdry,bladearea,sla,,,,
ALOPRA,41,1,,0.1191,,0.0377,32%,6.5,171.9,,,,
ALOPRA,41,2,,0.1321,,0.0459,35%,7.0,151.4,,,,
ALOPRA,41,3,,0.1248,,0.0429,34%,8.9,207.9,,,,
ALOPRA,41,4,,0.4583,,0.1534,33%,21.4,139.6,,,,
ALOPRA,41,5,,0.556,,0.1574,28%,30.2,191.9,,,,
ALOPRA,48,1,,0.1098,,0.0347,32%,6.7,193.1,,,,
ALOPRA,48,2,,0.1986,,0.06097,31%,11.8,192.9,,,,
ALOPRA,48,3,,0.2426,,0.0632,26%,14.9,235.1,,,,
ALOPRA,48,4,,0.28434,,0.0855,30%,16.1,187.8,,,,
ALOPRA,48,5,,0.1977,,0.0614,31%,13.3,217.1,,,,
ALOPRA,50,1,,0.0629,,0.0172,27%,3.4,198.8,,,,
ALOPRA,50,2,,0.1164,,0.0297,26%,6.1,203.7,,,,
ALOPRA,50,3,,0.1142,,0.0321,28%,6.0,185.7,,,,
ALOPRA,50,4,,0.1015,,0.0337,33%,5.8,173.0,,,,
ALOPRA,50,5,,0.1646,,0.0518,31%,9.2,177.4,,,,
ALOPRA,53,1,,0.0371,,0.0106,29%,2.8,267.0,,,,
ALOPRA,53,2,,0.0473,,0.0139,29%,2.1,150.4,,,,
ALOPRA,53,3,,0.122,,0.0351,29%,6.4,182.3,,,,
ALOPRA,53,4,,0.1186,,0.0342,29%,6.3,184.8,,,,
ALOPRA,53,5,,0.1438,,0.0444,31%,7.8,175.2,,,,
ALOPRA,59,1,,0.0539,,0.0168,31%,3.8,226.8,,,,
ALOPRA,59,2,,0.1058,,0.0341,32%,6.3,183.3,,,,
ALOPRA,59,3,,0.1505,,0.0464,31%,10.1,218.1,,,,
ALOPRA,59,4,,0.1599,,0.05,31%,10.2,204.4,,,,
ALOPRA,59,5,,0.1689,,0.0531,31%,11.5,216.4,,,,
ALOPRA,102,1,,0.25,,0.0918,37%,10.1,109.8,,,,
ALOPRA,102,2,,0.121,,0.0375,31%,5.7,150.7,,,,
ALOPRA,102,3,,0.105,,0.0325,31%,5.3,163.1,,,,
ALOPRA,102,4,,0.1,,0.0298,30%,5.2,174.8,,,,
ALOPRA,103,1,,0.331,,0.087,26%,13.8,158.9,,,,
ALOPRA,103,2,,0.082,,0.029,35%,4.4,152.4,,,,
ALOPRA,104,1,,0.213,,0.0586,28%,10.1,171.7,,,,
ALOPRA,104,2,,0.207,,0.0556,27%,11.6,208.3,,,,
ALOPRA,104,3,,0.13,,0.044,34%,6.1,138.2,,,,
ALOPRA,104,4,,0.122,,0.04,33%,5.7,142.3,,,,
ALOPRA,104,5,,0.068,,0.02,29%,3.4,171.0,,,,
ALOPRA,107,1,,0.0901,,0.029,32%,4.8,166.2,,,,
ALOPRA,107,2,,0.107,,0.0303,28%,5.9,193.1,,,,
ALOPRA,108,1,,0.178,,0.064,36%,8.4,130.6,,,,
ALOPRA,108,2,,0.169,,0.055,33%,8.2,148.9,,,,
ALOPRA,108,3,,0.188,,0.058,31%,9.3,160.3,,,,
ALOPRA,108,4,,0.207,,0.073,35%,8.6,117.4,,,,
ALOPRA,108,5,,0.185,,0.062,34%,9.3,149.4,,,,
ALOPRA,108,6,,0.105,,0.036,34%,5.7,158.3,,,,
ALOPRA,108,7,,0.129,,0.047,36%,5.8,123.0,,,,
BROHOR,2,1,,0.03743,,0.0171,46%,2.6,151.5,,,,
BROHOR,2,2,,0.03823,,0.0136,36%,2.5,186.0,,,,
BROHOR,2,3,,0.05251,,0.0175,33%,3.4,196.6,,,,
BROHOR,2,4,,0.0399,,0.0131,33%,3.2,245.0,,,,
BROHOR,3,1,,0.0245,,0.0068,28%,1.8,263.2,,,,
BROHOR,3,2,,0.0127,,0.0041,32%,1.1,268.3,,,,
BROHOR,3,3,,0.0335,,0.0095,28%,2.6,276.8,,,,
BROHOR,5,1,,0.106,,0.0363,34%,6.6,180.7,,,,
BROHOR,5,2,,0.131,,0.0291,22%,8.2,283.2,,,,
BROHOR,5,3,,0.132,,0.039,30%,8.3,212.3,,,,
BROHOR,6,1,,0.019,,0.0057,30%,1.1,200.0,,,,
BROHOR,6,2,,0.027,,0.0084,31%,1.9,222.6,,,,
BROHOR,6,3,,0.019,,0.0063,33%,1.5,230.2,,,,
BROHOR,8,1,,0.025,,0.0086,34%,2.2,251.2,,,,
BROHOR,8,2,,0.06,,0.0167,28%,4.2,250.9,,,,
BROHOR,8,3,,0.028,,0.0084,30%,2.2,261.9,,,,
BROHOR,9,1,,0.023,,0.0059,26%,1.8,311.9,,,,
BROHOR,9,2,,0.027,,0.008,30%,2.1,266.3,,,,
BROHOR,9,3,,0.011,,0.0031,28%,1.0,332.3,,,,
BROHOR,10,1,,0.0106,,0.0047,44%,0.9,187.2,,,,
BROHOR,10,2,,0.014,,0.0061,44%,1.3,213.1,,,,
BROHOR,10,3,,0.0251,,0.0082,33%,1.7,204.9,,,,
BROHOR,10,4,,0.0813,,0.0337,41%,4.3,128.2,,,,
BROHOR,11,1,,0.021,,0.0076,36%,2.2,292.1,,,,
BROHOR,11,2,,0.03,,0.0093,31%,2.4,259.1,,,,
BROHOR,11,3,,0.012,,0.0041,34%,1.2,282.9,,,,
BROHOR,12,1,,0.03,,0.0083,28%,2.8,334.9,,,,
BROHOR,12,2,,0.023,,0.0077,33%,2.6,336.4,,,,
BROHOR,12,3,,0.02,,0.0061,31%,1.9,316.4,,,,
BROHOR,13,1,,0.0086,,0.0064,74%,1.0,153.1,,,,
BROHOR,13,2,,0.0168,,0.0094,56%,1.2,126.6,,,,
BROHOR,13,3,,0.027,,0.0196,73%,1.9,98.0,,,,
BROHOR,13,4,,0.0914,,0.0252,28%,4.0,160.3,,,,
BROHOR,14,1,,0.014,,0.0042,30%,1.2,281.0,,,,
BROHOR,14,2,,0.017,,0.0047,28%,1.5,321.3,,,,
BROHOR,14,3,,0.013,,0.0036,28%,1.3,347.2,,,,
BROHOR,16,1,,0.05346,,0.0156,29%,3.0,194.2,,,,
BROHOR,16,2,,0.05805,,0.0184,32%,2.3,125.0,,,,
BROHOR,16,3,,0.1049,,0.0316,30%,5.4,169.6,,,,
BROHOR,16,4,,0.10447,,0.0327,31%,5.9,179.8,,,,
BROHOR,17,1,,0.011,,0.0082,75%,1.1,131.7,,,,
BROHOR,17,2,,0.02,,0.0038,19%,2.0,528.9,,,,
BROHOR,17,3,,0.026,,0.0062,24%,2.5,406.5,,,,
BROHOR,19,1,,0.03665,,0.0145,40%,2.0,135.2,,,,
BROHOR,19,2,,0.06157,,0.0295,48%,2.8,96.3,,,,
BROHOR,19,3,,0.07015,,0.0172,25%,2.4,138.4,,,,
BROHOR,19,4,,0.09602,,0.0344,36%,4.0,117.2,,,,
BROHOR,20,1,,0.131,,0.041,31%,7.6,184.4,,,,
BROHOR,20,2,,0.13,,0.044,34%,8.4,191.8,,,,
BROHOR,20,3,,0.086,,0.0272,32%,6.5,237.5,,,,
COLGRA,42,1,,0.029,,0.0058,20%,,0.0,,,,
COLGRA,42,2,,0.057,,0.0099,17%,,0.0,,,,
COLGRA,42,3,,0.147,,0.0257,17%,,0.0,,,,
