Date_Measured,Species,Site,Plot,Height_mm
5/23/2018,Achyrachaena mollis,Northern,44,195
5/23/2018,Achyrachaena mollis,Northern,46,500
5/23/2018,Achyrachaena mollis,Northern,46,474
5/23/2018,Achyrachaena mollis,Northern,47,131
5/23/2018,Achyrachaena mollis,Northern,47,247
5/23/2018,Achyrachaena mollis,Northern,47,150
5/23/2018,Achyrachaena mollis,Northern,47,350
5/23/2018,Achyrachaena mollis,Northern,47,361
5/23/2018,Achyrachaena mollis,Northern,47,370
5/23/2018,Achyrachaena mollis,Northern,47,476
5/23/2018,Achyrachaena mollis,Northern,47,293
5/23/2018,Achyrachaena mollis,Northern,47,200
5/23/2018,Achyrachaena mollis,Northern,47,220
5/23/2018,Achyrachaena mollis,Northern,49,138
5/23/2018,Achyrachaena mollis,Northern,49,150
5/23/2018,Achyrachaena mollis,Northern,49,185
5/23/2018,Achyrachaena mollis,Northern,49,130
5/23/2018,Achyrachaena mollis,Northern,49,265
5/23/2018,Achyrachaena mollis,Northern,49,167
5/23/2018,Achyrachaena mollis,Northern,53,86
5/23/2018,Achyrachaena mollis,Northern,54,200
5/23/2018,Achyrachaena mollis,Northern,54,356
5/23/2018,Achyrachaena mollis,Northern,54,214
5/23/2018,Achyrachaena mollis,Northern,55,211
5/23/2018,Achyrachaena mollis,Northern,55,515
5/23/2018,Achyrachaena mollis,Northern,55,207
5/23/2018,Achyrachaena mollis,Northern,56,292
5/23/2018,Achyrachaena mollis,Northern,56,330
5/23/2018,Achyrachaena mollis,Northern,56,380
5/23/2018,Achyrachaena mollis,Northern,56,260
5/23/2018,Achyrachaena mollis,Northern,56,200
5/23/2018,Achyrachaena mollis,Northern,56,200
5/23/2018,Achyrachaena mollis,Northern,56,110
5/23/2018,Achyrachaena mollis,Northern,56,265
5/23/2018,Achyrachaena mollis,Northern,56,320
5/23/2018,Achyrachaena mollis,Northern,57,101
5/23/2018,Achyrachaena mollis,Northern,57,123
5/23/2018,Achyrachaena mollis,Northern,58,155
5/23/2018,Achyrachaena mollis,Northern,58,150
5/23/2018,Achyrachaena mollis,Northern,58,156
5/23/2018,Achyrachaena mollis,Northern,58,174
5/10/18,Alopecurus pratensis,Northern,41,961
5/10/18,Alopecurus pratensis,Northern,41,695
5/10/18,Alopecurus pratensis,Northern,41,838
5/10/18,Alopecurus pratensis,Northern,41,845
5/10/18,Alopecurus pratensis,Northern,41,736
5/10/18,Alopecurus pratensis,Northern,48,729
5/10/18,Alopecurus pratensis,Northern,48,622
5/10/18,Alopecurus pratensis,Northern,48,790
5/10/18,Alopecurus pratensis,Northern,48,798
5/10/18,Alopecurus pratensis,Northern,48,830
5/10/18,Alopecurus pratensis,Northern,50,908
5/10/18,Alopecurus pratensis,Northern,50,920
5/10/18,Alopecurus pratensis,Northern,50,925
5/10/18,Alopecurus pratensis,Northern,50,826
5/10/18,Alopecurus pratensis,Northern,50,870
5/10/18,Alopecurus pratensis,Northern,53,898
5/10/18,Alopecurus pratensis,Northern,53,794
5/10/18,Alopecurus pratensis,Northern,53,880
5/10/18,Alopecurus pratensis,Northern,53,730
5/10/18,Alopecurus pratensis,Northern,53,920
5/10/18,Alopecurus pratensis,Northern,59,851
5/10/18,Alopecurus pratensis,Northern,59,876
5/10/18,Alopecurus pratensis,Northern,59,991
5/10/18,Alopecurus pratensis,Northern,59,822
5/10/18,Alopecurus pratensis,Northern,59,882
5/17/2018,Alopecurus pratensis,Southern,FIELD,850
5/17/2018,Alopecurus pratensis,Southern,FIELD,699
5/17/2018,Alopecurus pratensis,Southern,FIELD,911
5/17/2018,Alopecurus pratensis,Southern,FIELD,788
5/17/2018,Alopecurus pratensis,Southern,FIELD,778
5/17/2018,Alopecurus pratensis,Southern,FIELD,926
5/17/2018,Alopecurus pratensis,Southern,FIELD,690
5/17/2018,Alopecurus pratensis,Southern,FIELD,551
5/17/2018,Alopecurus pratensis,Southern,FIELD,740
5/17/2018,Alopecurus pratensis,Southern,FIELD,740
5/17/2018,Alopecurus pratensis,Southern,FIELD,853
5/17/2018,Alopecurus pratensis,Southern,FIELD,1065
5/17/2018,Alopecurus pratensis,Southern,FIELD,750
5/17/2018,Alopecurus pratensis,Southern,FIELD,1051
5/17/2018,Alopecurus pratensis,Southern,FIELD,814
5/17/2018,Alopecurus pratensis,Southern,FIELD,882
5/17/2018,Alopecurus pratensis,Southern,FIELD,762
5/17/2018,Alopecurus pratensis,Southern,FIELD,786
5/17/2018,Alopecurus pratensis,Southern,FIELD,845
5/17/2018,Alopecurus pratensis,Southern,FIELD,701
5/17/2018,Alopecurus pratensis,Southern,FIELD,527
5/17/2018,Alopecurus pratensis,Southern,FIELD,590
5/17/2018,Alopecurus pratensis,Southern,FIELD,543
5/17/2018,Alopecurus pratensis,Southern,FIELD,930
5/17/2018,Alopecurus pratensis,Southern,FIELD,774
5/16/2018,Bromus hordaceus,Southern,1,531
5/16/2018,Bromus hordaceus,Southern,1,462
5/16/2018,Bromus hordaceus,Southern,1,511
5/16/2018,Bromus hordaceus,Southern,1,554
5/16/2018,Bromus hordaceus,Southern,1,426
5/16/2018,Bromus hordaceus,Southern,2,530
5/16/2018,Bromus hordaceus,Southern,2,480
5/16/2018,Bromus hordaceus,Southern,2,444
5/16/2018,Bromus hordaceus,Southern,2,397
5/16/2018,Bromus hordaceus,Southern,2,487
5/16/2018,Bromus hordaceus,Southern,3,437
5/16/2018,Bromus hordaceus,Southern,3,455
5/16/2018,Bromus hordaceus,Southern,3,565
5/16/2018,Bromus hordaceus,Southern,3,460
5/16/2018,Bromus hordaceus,Southern,3,460
5/16/2018,Bromus hordaceus,Southern,4,490
5/16/2018,Bromus hordaceus,Southern,4,596
5/16/2018,Bromus hordaceus,Southern,4,588
5/16/2018,Bromus hordaceus,Southern,4,464
5/16/2018,Bromus hordaceus,Southern,4,446
5/16/2018,Bromus hordaceus,Southern,5,424
5/16/2018,Bromus hordaceus,Southern,5,540
5/16/2018,Bromus hordaceus,Southern,5,600
5/16/2018,Bromus hordaceus,Southern,5,567
5/16/2018,Bromus hordaceus,Southern,5,466
5/16/2018,Bromus hordaceus,Southern,6,374
5/16/2018,Bromus hordaceus,Southern,6,669
5/16/2018,Bromus hordaceus,Southern,6,515
5/16/2018,Bromus hordaceus,Southern,6,229
5/16/2018,Bromus hordaceus,Southern,6,262
5/16/2018,Bromus hordaceus,Southern,7,412
5/16/2018,Bromus hordaceus,Southern,7,318
5/16/2018,Bromus hordaceus,Southern,7,556
5/16/2018,Bromus hordaceus,Southern,7,521
5/16/2018,Bromus hordaceus,Southern,7,430
5/16/2018,Bromus hordaceus,Southern,8,474
5/16/2018,Bromus hordaceus,Southern,8,476
5/16/2018,Bromus hordaceus,Southern,8,650
5/16/2018,Bromus hordaceus,Southern,8,570
5/16/2018,Bromus hordaceus,Southern,8,500
5/16/2018,Bromus hordaceus,Southern,9,376
5/16/2018,Bromus hordaceus,Southern,9,494
5/16/2018,Bromus hordaceus,Southern,9,426
5/16/2018,Bromus hordaceus,Southern,9,422
5/16/2018,Bromus hordaceus,Southern,9,371
5/16/2018,Bromus hordaceus,Southern,10,591
5/16/2018,Bromus hordaceus,Southern,10,494
5/16/2018,Bromus hordaceus,Southern,10,429
5/16/2018,Bromus hordaceus,Southern,10,486
5/16/2018,Bromus hordaceus,Southern,10,430
5/16/2018,Bromus hordaceus,Southern,11,486
5/16/2018,Bromus hordaceus,Southern,11,531
5/16/2018,Bromus hordaceus,Southern,11,486
5/16/2018,Bromus hordaceus,Southern,11,612
5/16/2018,Bromus hordaceus,Southern,11,500
5/16/2018,Bromus hordaceus,Southern,12,444
5/16/2018,Bromus hordaceus,Southern,12,400
