species,code,seedperlb
Danthonia californica,DANCAL,140000
Deschampsia cespitosa,DESCES,1500000
Festuca roemeri,FESROE,500000
Achillea millefolium,ACHMIL,1418947
Agoseris grandiflora,AGOGRA,273665
Clarkia purpurea,CLAPUR,1890000
Collinsia grandiflora,COLGRA,464687
Eriophyllum lanatum,ERILAN,1169047
Plagiobothrys nothofulvus,PLANOT,767324
Plectritis congesta,PLECON,1311698
Sidalcea malviflora,SIDMAL,133000
Dactylis glomerata,DACGLO,487000
Festuca arundinacea,SCHARU,227000
Festuca myuros,VULPIA,548250
Bromus hordaceus,BROHOR,197100
Alopecurus pratensis,ALOPRA,407000
Trifolium subterraneum,TRISUB,70000
